"filename", "language", "JavaScript", "Log", "CSS", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\css\defaults.css", "CSS", 0, 0, -284, -4, -44, -332
"c:\Users\subar\OneDrive\Desktop\Diplome\css\diy.css", "CSS", 0, 0, -28, 0, -3, -31
"c:\Users\subar\OneDrive\Desktop\Diplome\css\engines.css", "CSS", 0, 0, -68, 0, -11, -79
"c:\Users\subar\OneDrive\Desktop\Diplome\css\focusMode.css", "CSS", 0, 0, -10, 0, -1, -11
"c:\Users\subar\OneDrive\Desktop\Diplome\css\index.css", "CSS", 0, 0, -38, -2, -6, -46
"c:\Users\subar\OneDrive\Desktop\Diplome\css\quiz.css", "CSS", 0, 0, -44, 0, -7, -51
"c:\Users\subar\OneDrive\Desktop\Diplome\css\sources.css", "CSS", 0, 0, -38, 0, -6, -44
"c:\Users\subar\OneDrive\Desktop\Diplome\css\temp models.css", "CSS", 0, 0, -9, 0, -1, -10
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdBear.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdClutch.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdFly.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdHalfshaft.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdHub.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdPressPlate.glb.log", "Log", 0, -627, 0, 0, -1, -628
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\fwd\fwdTran.glb.log", "Log", 0, -627, 0, 0, -1, -628
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\rwd\dif.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\rwd\driveshaft.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\rwd\halfshaft.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\rwd\hub.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\drivetrain\rwd\tran.glb.log", "Log", 0, -633, 0, 0, -1, -634
"c:\Users\subar\OneDrive\Desktop\Diplome\models\ev\battery.glb.log", "Log", 0, -569, 0, 0, -1, -570
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\ConRodsPistons.glb.log", "Log", 0, -656, 0, 0, -1, -657
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\alternator.glb.log", "Log", 0, -615, 0, 0, -1, -616
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\block.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\camshaftGears.glb.log", "Log", 0, -524, 0, 0, -1, -525
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\camshafts.glb.log", "Log", 0, -524, 0, 0, -1, -525
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\crankshaft.glb.log", "Log", 0, -572, 0, 0, -1, -573
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\crankshaftPulley.glb.log", "Log", 0, -524, 0, 0, -1, -525
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\fuelFilter.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\header.glb.log", "Log", 0, -602, 0, 0, -1, -603
"c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\headerCover.glb.log", "Log", 0, -603, 0, 0, -1, -604
