"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy.html", "HTML", 0, -55, 0, -10, -65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\clutchTrouble.html", "HTML", 0, -109, 0, -14, -123
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\engineTrouble.html", "HTML", 0, -246, 0, -25, -271
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\suspTrouble.html", "HTML", 0, -259, 0, -28, -287
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\tranTrouble.html", "HTML", 0, -206, 0, -25, -231
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain.html", "HTML", 0, -51, 0, -14, -65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\fwd.html", "HTML", 0, -75, -4, -18, -97
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\rwd.html", "HTML", 0, -75, -4, -18, -97
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\engines.html", "HTML", 0, -58, 0, -14, -72
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\index.html", "HTML", 0, -49, 0, -9, -58
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\inline4P.html", "HTML", 0, -141, -4, -39, -184
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\rotary.html", "HTML", 0, -75, -2, -17, -94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\v6P.html", "HTML", 0, -75, -2, -17, -94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes.html", "HTML", 0, -44, 0, -3, -47
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\sources.html", "HTML", 0, -92, 0, -13, -105
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension.html", "HTML", 0, -52, 0, -14, -66
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\newsusp.html", "HTML", 0, -78, -4, -18, -100
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\oldsusp.html", "HTML", 0, -72, -2, -17, -91
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\temp models.html", "HTML", 0, -22, -15, -14, -51
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\diyDrop.js", "JavaScript", 13, 0, 0, 0, 13
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsRotary.js", "JavaScript", 103, 0, 0, 12, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsV6.js", "JavaScript", 103, 0, 0, 12, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsi4.js", "JavaScript", 104, 0, 0, 11, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js", "JavaScript", 82, 0, 0, 12, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\loading.js", "JavaScript", 4, 0, 3, 0, 7
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\newSusButtons.js", "JavaScript", 89, 0, 0, 11, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\oldSusButtons.js", "JavaScript", 89, 0, 0, 11, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quiz.js", "JavaScript", 80, 0, 8, 20, 108
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js", "JavaScript", 82, 0, 0, 12, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\toTop.js", "JavaScript", 11, 0, 0, 1, 12
"Total", "-", 760, -1834, -26, -225, -1325
