"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy.html", "HTML", 55, 0, 0, 10, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\clutchTrouble.html", "HTML", 109, 0, 0, 14, 123
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\engineTrouble.html", "HTML", 246, 0, 0, 25, 271
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\suspTrouble.html", "HTML", 259, 0, 0, 28, 287
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\tranTrouble.html", "HTML", 206, 0, 0, 25, 231
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain.html", "HTML", 51, 0, 0, 14, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\fwd.html", "HTML", 71, 0, 4, 18, 93
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\rwd.html", "HTML", 71, 0, 4, 18, 93
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\engines.html", "HTML", 58, 0, 0, 14, 72
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\index.html", "HTML", 55, 0, 0, 10, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\inline4P.html", "HTML", 141, 0, 4, 39, 184
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\misc.html", "HTML", 71, 0, 2, 16, 89
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\rotary.html", "HTML", 75, 0, 2, 17, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\v6P.html", "HTML", 75, 0, 2, 17, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes.html", "HTML", 55, 0, 0, 8, 63
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizDri.html", "HTML", 49, 0, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizEng.html", "HTML", 49, 0, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizGen.html", "HTML", 49, 0, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizSus.html", "HTML", 49, 0, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\sources.html", "HTML", 92, 0, 0, 13, 105
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension.html", "HTML", 52, 0, 0, 14, 66
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\newsusp.html", "HTML", 78, 0, 4, 18, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\oldsusp.html", "HTML", 72, 0, 2, 17, 91
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\temp models.html", "HTML", 22, 0, 15, 14, 51
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\diyDrop.js", "JavaScript", 0, -13, 0, 0, -13
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsMisc.js", "JavaScript", 0, -87, 0, -12, -99
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsRotary.js", "JavaScript", 0, -103, 0, -12, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsV6.js", "JavaScript", 0, -103, 0, -12, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsi4.js", "JavaScript", 0, -104, 0, -11, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js", "JavaScript", 0, -87, 0, -12, -99
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\loading.js", "JavaScript", 0, -4, -3, 0, -7
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\newSusButtons.js", "JavaScript", 0, -89, 0, -11, -100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\oldSusButtons.js", "JavaScript", 0, -89, 0, -11, -100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizDri.js", "JavaScript", 0, -87, -7, -21, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizEng.js", "JavaScript", 0, -87, -7, -21, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizGen.js", "JavaScript", 0, -87, -7, -21, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizSus.js", "JavaScript", 0, -87, -7, -21, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js", "JavaScript", 0, -89, 0, -12, -101
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\toTop.js", "JavaScript", 0, -11, 0, -1, -12
"Total", "-", 2110, -1127, 12, 183, 1178
