"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy.html", "HTML", 55, 0, 10, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\clutchTrouble.html", "HTML", 109, 0, 14, 123
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\engineTrouble.html", "HTML", 246, 0, 25, 271
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\suspTrouble.html", "HTML", 259, 0, 28, 287
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\tranTrouble.html", "HTML", 206, 0, 25, 231
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain.html", "HTML", 51, 0, 14, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\fwd.html", "HTML", 71, 4, 18, 93
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\rwd.html", "HTML", 71, 4, 18, 93
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\engines.html", "HTML", 58, 0, 14, 72
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\index.html", "HTML", 55, 0, 10, 65
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\inline4P.html", "HTML", 141, 4, 39, 184
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\misc.html", "HTML", 71, 2, 16, 89
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\rotary.html", "HTML", 75, 2, 17, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\v6P.html", "HTML", 75, 2, 17, 94
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes.html", "HTML", 55, 0, 8, 63
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizDri.html", "HTML", 49, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizEng.html", "HTML", 49, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizGen.html", "HTML", 49, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes\quizSus.html", "HTML", 49, 1, 3, 53
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\sources.html", "HTML", 92, 0, 13, 105
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension.html", "HTML", 52, 0, 14, 66
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\newsusp.html", "HTML", 78, 4, 18, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\oldsusp.html", "HTML", 72, 2, 17, 91
"c:\Users\subar\OneDrive\Desktop\Diplome\pages\temp models.html", "HTML", 22, 15, 14, 51
"Total", "-", 2110, 43, 361, 2514
