"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\diyDrop.js", "JavaScript", 13, 0, 0, 13
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsMisc.js", "JavaScript", 87, 0, 12, 99
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsRotary.js", "JavaScript", 103, 0, 12, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsV6.js", "JavaScript", 103, 0, 12, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsi4.js", "JavaScript", 104, 0, 11, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js", "JavaScript", 87, 0, 12, 99
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\loading.js", "JavaScript", 4, 3, 0, 7
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\newSusButtons.js", "JavaScript", 89, 0, 11, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\oldSusButtons.js", "JavaScript", 89, 0, 11, 100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizDri.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizEng.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizGen.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizSus.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js", "JavaScript", 89, 0, 12, 101
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\toTop.js", "JavaScript", 11, 0, 1, 12
"Total", "-", 1127, 31, 178, 1336
